2,4,5,6,7,9,11,12,13,14,17,18,20,21,22,27,28,31,33,35,38
4,6,6,5,1,6,1,3,5,6,1,1,5,6,1,5,1,6,3,1,1
4,6,6,5,1,1,1,3,5,6,1,1,5,6,1,5,1,6,3,1,1
1,5,6,4,5,1,1,4,3,5,1,1,5,6,1,5,1,6,3,5,6
6,6,4,5,6,6,6,3,1,4,1,1,5,6,5,5,1,6,3,5,1
6,1,6,5,4,6,1,3,5,6,1,1,5,6,1,5,1,6,3,1,1
6,1,6,5,1,6,1,3,5,6,6,5,5,1,5,5,6,6,3,5,1
5,5,6,6,5,6,1,6,3,1,1,5,5,1,1,1,4,6,5,5,1
5,5,6,6,5,1,1,1,3,6,1,5,1,1,1,1,6,6,5,4,6
1,5,1,1,6,5,5,4,3,6,1,3,5,1,5,1,4,1,3,5,1
5,5,1,6,5,6,1,5,5,1,1,5,5,5,1,1,6,6,5,5,1
5,6,5,1,5,1,6,1,5,4,1,5,5,6,4,5,5,6,5,5,1
5,4,4,1,5,1,4,1,3,5,1,5,5,1,5,1,4,1,1,5,1
5,5,6,6,5,5,6,6,5,5,1,5,5,4,1,6,4,1,1,6,3
5,4,4,1,5,1,4,1,3,5,1,5,5,1,5,1,4,1,1,5,1
5,5,1,6,5,6,1,5,5,1,1,5,5,5,1,1,6,6,5,5,1
1,5,1,1,6,5,5,4,3,6,1,3,5,1,5,1,4,1,3,5,1
